Example,customer_text,amazon_reply,Suggested Intent,human_intent,label_notes
1,朝いきなりAmazon有料サイトてきたあ(＞＜)こわっいぃぃぃ https://t.co/EtCZ6oi0fU,@320165 失礼します。こちらは当サイトからお送りしたものではございません。AmazonからSMSで未納料金などといったメールは送信いたしません。 ヘルプページでも注意喚起を行っておりますので、ご参照ください。https://t.co/k4jy2iTq1Y RI,Other,,
2,@AmazonHelp 毎週お世話になってます🙏🙏,@782199 これからもよろしくお願いいたします！！🙏🙏🙏✨✨,Other,,
3,"@AmazonHelp Says looks like it's lost, check the the options below. But there aren't any!",@627582 Oh dear! We are here to help! What options do you see? ^AD,Other,,
4,"@115821 So, now explaining it for a fifth time to get another agent. Who still doesn’t get it.",@122721 We'd like to have a member of our team look in to this! Leave your info here: https://t.co/gZv6vU0Qyy Keep us posted! ^KN,Customer Support / Escalation,,
5,Um grande elogio p/ @117086 q vendeu a coleção d teatro completa do Shakespeare c/ o menor preço da interwebs e entregou em menos d 2d ❤️ https://t.co/vs0UqFqOSr,"@200427 Olá Lee, saber que você teve uma boa experiencia nós deixa emocionados. ❤ O que você esta achando da coleção? ^DA https://t.co/NCL5k4qplg",Other,,
6,アマゾンで注文してた零さんのウィッグが届いていないのに配達完了になっているw零さんどこいったんですかww,@403927 ご心配をおかけしております。配達完了でも商品未着の場合、下記ヘルプの内容をご確認ください。https://t.co/aABELyb8qu  解決しない場合は以下より当サイトへお問合せください。https://t.co/J6YEizo6qC  　SM,Other,,
7,@AmazonHelp Like I mentioned in my first tweet I was assured and sent an email confirmation but still I keep receiving the product every 2 months. Not sure if its a bug in your systems that my order is not getting updated,"@199061 Sorry to hear that, please contact us by phone or chat once more here: https://t.co/hApLpM3Ejd to discuss this with an agent.^JJ",Technical Issue,,
8,For god sake @115821!! Second time in 6 weeks your delivery guy breaks my mailbox door! Like that box was ever going to fit!! .de order https://t.co/N6GqYoVsDo,"@124654 Please get in touch with us, the Amazon.de Social Media Team: https://t.co/cUDnC8mjd7 We would like to check this. ^SI",Delivery Issue,,
9,"@AmazonHelp  agents say, we will refund you in 5 days! it's been 13 days. still waiting for @71902 @133462 is growing better. https://t.co/nNwMDB50eP",@307766 we consider them as personal information. Our Twitter page is visible to public. (2/2)^VM,Refund / Return,,
10,If @115821 leaves another one of my packages outside unattended I’m going to stop ordering from them @AmazonHelp,"@518727 I understand your concern, Michael. Is there a specific carrier you're having issues with regarding delivery? ^SK",Delivery Issue,,
11,"@123813 existe mes de prueba? La competencia es pésima, pero dicen que ""más vale malo conocido...""","@452965 Hola Oscar. Inscribiéndote al período de prueba gratis de Amazon Prime, puedes disfrutar de Prime Video, pues este es un (1/2)",Other,,
12,@AmazonHelp Providing my details 9th time. Let's see what you gonna do this time,@329177 Thanks a lot for the cooperation.  We'll reach out to you at the earliest to make things right. ^CB,Other,,
13,アマゾンさん違う商品送ってきたよ～😭,@821969 ご迷惑をお掛けし申し訳ございません。お届けした商品に問題があった場合、Amazonが発送する商品は返品・交換（可能な商品のみ）にて対応させていただいております。お手数ですが、リンクをご参照の上お手続きください。https://t.co/TYbxdUDknb TN,Other,,
14,@AmazonHelp A just need acces to my account why are you lot making this so hard for me,"@228071 We aren't able to access your account via Twitter to see what the exact issue is, but normally you should be sent an e-mail requesting either payment or address verification. Have you received an e-mail like this, or was this mentioned when we spoke on the phone? ^LB",Account / Login,,
15,@AmazonHelp Still confused. Item I purchased is marked as Prime and in stock. Therefore should be despatched tomorrow latest surely? So I should have it Thursday? https://t.co/SaqeLWGZzK,"@804152 Some items do take longer to process! We don't have access to orders via social media, if you'd like us to look into this order, please reach out to us here:https://t.co/JzP7hlA23B ^AH",Delivery Issue,,
16,@115830 Can you confirm that order 206-8195514-7057146 is still being delivered today please,"@389482 Thanks for reaching out to us today, Niall!  We're unable to access your account but we'd love to help! Could you tell us the latest tracking update for this delivery: https://t.co/aaDyEz1VgE ^ML",Order Status,,
17,"@117795 really don't like when your couriers lie about accessing my location that has no security gate.  My son has allergies, I order his food from you.  Now he has to wait bc your courier doesn't know how to Google map. Or call us if lost. Thx",@646513 I'm sorry you haven't received your order. We'd like to look into this with you. Please send more details here: https://t.co/CnmHsc1aqB ^CL,Delivery Issue,,
18,"Really wanting to be an @115821 fan, but when all three of my devices are broken after having them for 3 months it's hard...","@206738 Oh no! Sorry to hear that, Jon. Will you tell us more about what's going on? Please don't share personal account info! ^AB",Technical Issue,,
19,@AmazonHelp See line extra 3000 off on this mobile,@169186 and with time. Kindly refer the link: https://t.co/sfTQc3Ex7D for more information. (2/2) ^MO,Other,,
20,i'm crying my amazon package was supposed to arrive at 9 and it's def 9:20,@481768 I'm sorry for the wait! Will you tell us which carrier is shown for your order here: https://t.co/Y5jpI9gRhE? ^DW,Delivery Issue,,
21,"@116928 Buenas tardes! Tengo un producto defectuoso y no puedo contactar con el vendedor. _x000D_
Número del pedido:_x000D_
 171-7713708-0461967_x000D_
¿Cómo he de proceder para su reembolso o sustitución? Gracias","@792979 ¡Hola, EltSaC! Lamento los inconvenientes. Por motivos de seguridad, te recomiendo eliminar este tuit, pues contiene información de tu cuenta. ¿Seguiste las instrucciones indicadas en este enlace?: https://t.co/jFNuJZ8sjt ^CR",Product / Seller,,
22,"@AmazonHelp No message, just a blank screen. Was working fine then just stopped. Is working on iPad just not tv",@737745 Have you checked for software/firmware updates? Other troubleshooting steps can be found here: https://t.co/FWB4Swd4IW ^AM,Technical Issue,,
23,@AmazonHelp #First lost my order# then you place replacement order # 2 days delivery for normal purchase &amp; 5 days for replacement # what a disgusting service,"@576412 Sorry about your recent experience, Sameer. I've noted your comments and have forwarded your feedback internally. Please be assured that necessary steps will be taken to resolve this issue. ^SY",Refund / Return,,
24,@AmazonHelp @115850 so any update,@343355 &amp; reply so that we can provide you an update. 2/2^EM,Other,,
25,@AmazonHelp não,"@624553 Entendi. No caso, Rosa, ficamos no aguardo dos seus dados. ^LG",Other,,
26,@AmazonHelp Your product wich is in pic looks diffrent nd we receve is diffrent and also a color we cannt cancle this bcz i m live in dakor gujarat,@183175 Apologies for the inconvenience. Request you to get in touch with our support team here : https://t.co/TdDksLo6Mf.^SK,Product / Seller,,
27,.@AmazonHelp Pre-ordered @123473 @466085 #Slobberkocker a month ago. Now I've been told it won't be dispatched until DECEMBER! Why?,"@466084 Sorry to hear this. Was a reason mentioned for the delay? Did you receive an email? Also, check your junk/spam folder. ^PK",Order Status,,
28,@115821 why is the Alexa app moving so slow today ?,@231857 Have you checked your connection and perhaps turned your device off and on again to see if that helps? ^BD,Technical Issue,,
29,"@AmazonHelp Order is ""dispatching soon"" but it's arriving today, and it's 4pm already? Need this item for work. https://t.co/sjlHw5kAsy","@438447 Hey! We'd love to help! Can you tell us which site you used when placing your order? i.e.,.com,.in,.co.uk? Let us know.^SK",Product / Seller,,
30,"@115850 order id-402-4902132-3775509  how this paymnt can be done when no delivery boy came to my add._x000D_
Allahabad delvry system is poor. https://t.co/jGqMCKUqen",@193234 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. 1/2^HN,Technical Issue,,
31,@AmazonHelp My lights all appear here but my Dots do not. Should this be where I select them to add? https://t.co/L7OX9LKLlD,"@421770 Hello, Alanna! We want to help! Contact us here so we can get your Smart Home set up: https://t.co/hApLpMlfHN ^EA",Technical Issue,,
32,@AmazonHelp Please find all details of order no. 405-3693108-4127531.,@706547 We'll not be able to check your information over Twitter. We'd like to know more about  this. Kindly share your details here: https://t.co/beaaDm0muc . Please don't provide your order details as we consider it to be personal info. Our page is visible to the public. ^GK,Order Status,,
33,Thanks to @116935 for an easy-to-use and fast-connection iOS App! #BehindTheSmile,@142702 You're welcome! We love hearing your feedback. You made our day!!! 🎹🎶🎸 ^JN,Technical Issue,,
34,@AmazonHelp Again my another order with  Order ID: #405-0991980-9519516 cancelled without my concern why amazon provide offers during great indian sale?,"@354687 I understand your concern that your order is cancelled without your knowledge, I'd request you ^SM (1/2)",Order Status,,
35,@115850 kindly refund my money  order #404-9907668-2959526,"@306778 Please don't provide your order details,we consider it to be personal information.Our page is visible to the public.2/2 ^SC",Refund / Return,,
36,@115821 you need better customer service reps.,"@223983 Please be sure to leave feedback in the survey at the bottom of the e-mail sent after speaking with us. Once completed, these are sent to management for review to help with coaching opportunities. ^EP",Customer Support / Escalation,,
37,"@AmazonHelp I have placed 3 orders none of them have delivered yet. I had to cancel it after waiting for a months_x000D_
See Order#__credit_card__",@441304 Sorry to know about this. Please reach us from here: https://t.co/rS49hgaADF we'll assist you. (1/2) ^SV,Order Status,,
38,@AmazonHelp @115851 the status still says on the way - This is laughable !! https://t.co/3nBMazoDUE,@208321 We've sent a correspondence to your registered email address. Please check and revert. ^SQ,Order Status,,
39,@AmazonHelp Can you please tell me why same product is tagged with 3 different prices at 3 different times..,"@165812 Also, different sellers do provide the same item at different prices. 2/2 ^EM",Payment / Charges,,
40,@AmazonHelp I'm trying to watch 12 Chairs on prime but the subtitles are about a minute off to the words. Is it an issue on my end or yours,"@327462 Hmmm, lets work together here to find out! Have you tried uninstalling the app and re-installing it? Let us know! ^SA",Digital Content,,
41,"@AmazonHelp Num: CR0000301163_x000D_
En transit_x000D_
Livraison avant 20h","@247048 Si vous ne recevez pas votre colis d'ici 20 h, merci de le signaler à notre SAV afin d'y remédier je vous prie via le lien suivant: https://t.co/hgIrz98cdI ^BR",Other,,
42,"tried ordering Wide Sargasso Sea off @115821 because i need it for college and my shipping address clearly has Fredericksburg, VA in it and they sent it to Troy, AL 😤😤 @AmazonHelp https://t.co/FAvVqC0fdq","@379637 Oh no! Mary, we would love to look into this with you in real time. Please contact us here:  https://t.co/hApLpMlfHN ^LM",Delivery Issue,,
43,"@115850 @AmazonHelp @115821 - Order# 408-3265294-3245900,I haven't recevied my product yet, nobody is giving the date ,i am a prime member",@207490 as we consider it to be personal info. Our Twitter page is public. (3/3) ^ST,Prime Membership,,
44,"@AmazonHelp My mobile number listed is 9673101122, but u can reach me on 9818601122",@120032 Thanks for the heads-up! Did you happen to share your preference on the link provided earlier? (1/2),Account / Login,,
45,@120533 vous allez sortir la fire HD 10 en France ? Une date ?,"@527155 Bonjour, je suis désolée, mais nous n'avons pas l'information, veuillez vérifier sur le site ultérieurement.",Other,,
