customer_text,amazon_reply,intent,label_notes
@119959 @115828 I preordered this game 14 months ago just to be sent it for the wrong console. FML... https://t.co/EMBHygMbOL,@520984 I'm sorry for the mix-up! Please contact us so we can look into this and review options: https://t.co/hApLpMlfHN ^WT,Product / Seller,
@AmazonHelp 2ème colis qui devait arriver aujourd'hui et ne le sera pas...C'est quoi votre engagement Prime déjà?,@242837 Que dit le suivi de votre colis s'il vous plaît ? ^MA,Other,
@115821 are y’all ever gonna transfer my $50 gc on an account you closed without telling me...? jw,"@315479 To confirm, has your account been closed or has it been locked pending account information verification? ^EZ",Account / Login,
@115821 dudes. You refunded me for the wrong item. I got my wine. Just not my #reesespeanutbuttercups the wine cost more! I only needed $4!,"@622478 We greatly appreciate your honesty! Please provide your info here: https://t.co/e1bGy9Xhvk, so we look into this for you. ^JN",Refund / Return,
@AmazonHelp Fuck u then why the hell u r having @AmazonHelp Twitter handle,@210361 Usually the products are delivered by the estimated delivery date. Could you let me know if we've missed it? ^AU,Other,
@AmazonHelp I had a scheduled furniture assembly yesterday which never happened. Upon calling the customer care they could not help much apart.,"@206017 Apologies for the delay, I'd like to look into this, kindly drop in your details here:https://t.co/beaaDm0muc and 1/2 ^EM",Technical Issue,
@115821 don’t tell me I got guaranteed delivery and then change the date the day I’m supposed to get everything 😤,@229000 I'm sorry to hear about this! Have you received an e-mail regarding any type of delay? ^VB,Other,
@AmazonHelp Amazon shipping.,@119036 Thanks for confirming with us! We'd like to look into this with you in more detail. Please reach out to us here: https://t.co/JzP7hlA23B so we can investigate! ^VB,Order Status,
@AmazonHelp just had chat with a representative and got assured delivery by 5 pm today. Lets see what happens....,@555171 Thanks. Do keep us posted. ^HK,Technical Issue,
@AmazonHelp My lights all appear here but my Dots do not. Should this be where I select them to add? https://t.co/L7OX9LKLlD,"@421770 Hello, Alanna! We want to help! Contact us here so we can get your Smart Home set up: https://t.co/hApLpMlfHN ^EA",Technical Issue,
@AmazonHelp It was a prime delivery option so should have had it Monday! Still says it’s out for delivery! You’ve also lost another parcel as well 👍🏼,"@623202 Give us a call, Chelsey, and we'll get this taken care of for you. Here's a link to help:  https://t.co/JzP7hlA23B ^EM",Delivery Issue,
@AmazonHelp A special amazon line will be contacting me after a 24 hour investigation.. 3 days ago,@230457 Have you checked your emails to see if there was an email update? I would recommend checking the spam folders as well as the inbox.^BZ,Customer Support / Escalation,
@115821 your cust.service just implied that my missing items are my fault for living somewhere unsafe. Poor people dont deserve to get mail?,"@396878 That's certainly not the experience we want for our customers. To escalate this, please fill out: https://t.co/YR1ZlJwzJJ ^BE",Product / Seller,
"@AmazonHelp Hablo para que me hagan los reembolsos, me llega el correo de que ya quedó y en unas horas diciéndome que no se pudo hacer efectivo pues necesitan más información, y se vuelve a repetir el ciclo.",@140383 Sentimos los inconvenientes con esta situación. ¿Podrías indicarnos si los productos son vendidos directamente por Amazon o si han sido vendidos por un vendedor externo?  ^PC,Other,
"@AmazonHelp haven't got the cashback for the 1st Recharge via Amazon pay, it's being 15 days now, the recharge was meant for @120602",@413738 Apologies for the delay. May I know if you've reported this to our support team? ^EM,Payment / Charges,
@AmazonHelp 毎週お世話になってます🙏🙏,@782199 これからもよろしくお願いいたします！！🙏🙏🙏✨✨,Other,
